forecast_date,target,target_end_date,location,type,quantile,value
2021-01-28,55 day ahead inc hosp,2021-03-24,56,quantile,0.025,0.03612577270437145
2021-01-28,56 day ahead inc hosp,2021-03-25,56,quantile,0.025,0.031242095482963125
2021-01-28,57 day ahead inc hosp,2021-03-26,56,quantile,0.025,0.027029608965145533
2021-01-28,58 day ahead inc hosp,2021-03-27,56,quantile,0.025,0.02338170389287662
2021-01-28,59 day ahead inc hosp,2021-03-28,56,quantile,0.025,0.020103139553733076
2021-01-28,60 day ahead inc hosp,2021-03-29,56,quantile,0.025,0.017083426273760492
2021-01-28,61 day ahead inc hosp,2021-03-30,56,quantile,0.025,0.014283821304317617
2021-01-28,62 day ahead inc hosp,2021-03-31,56,quantile,0.025,0.011643805178240828
2021-01-28,63 day ahead inc hosp,2021-04-01,56,quantile,0.025,0.009256203916557054
2021-01-28,64 day ahead inc hosp,2021-04-02,56,quantile,0.025,0.00732514604455506
2021-01-28,65 day ahead inc hosp,2021-04-03,56,quantile,0.025,0.00575905454495774
2021-01-28,66 day ahead inc hosp,2021-04-04,56,quantile,0.025,0.004510312033020682
2021-01-28,67 day ahead inc hosp,2021-04-05,56,quantile,0.025,0.003885529736361839
2021-01-28,68 day ahead inc hosp,2021-04-06,56,quantile,0.025,0.003579412015751337
2021-01-28,69 day ahead inc hosp,2021-04-07,56,quantile,0.025,0.0031854824159908823
2021-01-28,70 day ahead inc hosp,2021-04-08,56,quantile,0.025,0.0028138601016841685
2021-01-28,71 day ahead inc hosp,2021-04-09,56,quantile,0.025,0.0022385427156807513
2021-01-28,72 day ahead inc hosp,2021-04-10,56,quantile,0.025,0.0005167255327017523
2021-01-28,73 day ahead inc hosp,2021-04-11,56,quantile,0.025,-0.001193361952621241
2021-01-28,74 day ahead inc hosp,2021-04-12,56,quantile,0.025,-0.0023775300853901937
2021-01-28,75 day ahead inc hosp,2021-04-13,56,quantile,0.025,-0.003349780953505021
2021-01-28,76 day ahead inc hosp,2021-04-14,56,quantile,0.025,-0.004145674767788539
2021-01-28,77 day ahead inc hosp,2021-04-15,56,quantile,0.025,-0.004530673703437556
2021-01-28,78 day ahead inc hosp,2021-04-16,56,quantile,0.025,-0.004584554425309462
2021-01-28,79 day ahead inc hosp,2021-04-17,56,quantile,0.025,-0.004673884259899892
2021-01-28,80 day ahead inc hosp,2021-04-18,56,quantile,0.025,-0.011521917757009765
2021-01-28,81 day ahead inc hosp,2021-04-19,56,quantile,0.025,-0.01877530886586012
2021-01-28,82 day ahead inc hosp,2021-04-20,56,quantile,0.025,-0.025028686741095818
2021-01-28,83 day ahead inc hosp,2021-04-21,56,quantile,0.025,-0.02923123062145892
2021-01-28,84 day ahead inc hosp,2021-04-22,56,quantile,0.025,-0.03199649974306803
2021-01-28,85 day ahead inc hosp,2021-04-23,56,quantile,0.025,-0.03385705685098486
2021-01-28,86 day ahead inc hosp,2021-04-24,56,quantile,0.025,-0.034272532328596145
2021-01-28,87 day ahead inc hosp,2021-04-25,56,quantile,0.025,-0.03238659719066741
2021-01-28,88 day ahead inc hosp,2021-04-26,56,quantile,0.025,-0.02828013747836392
2021-01-28,89 day ahead inc hosp,2021-04-27,56,quantile,0.025,-0.023233676576702056
2021-01-28,90 day ahead inc hosp,2021-04-28,56,quantile,0.025,-0.018927817510785518
2021-01-28,91 day ahead inc hosp,2021-04-29,56,quantile,0.025,-0.018029597151863794
2021-01-28,92 day ahead inc hosp,2021-04-30,56,quantile,0.025,-0.01865172361050683
2021-01-28,93 day ahead inc hosp,2021-05-01,56,quantile,0.025,-0.019626121412958192
2021-01-28,94 day ahead inc hosp,2021-05-02,56,quantile,0.025,-0.02171592061139877
2021-01-28,95 day ahead inc hosp,2021-05-03,56,quantile,0.025,-0.02461382278042818
2021-01-28,96 day ahead inc hosp,2021-05-04,56,quantile,0.025,-0.02670968406690827
2021-01-28,97 day ahead inc hosp,2021-05-05,56,quantile,0.025,-0.031227748866560635
2021-01-28,98 day ahead inc hosp,2021-05-06,56,quantile,0.025,-0.035837053646294664
2021-01-28,0 day ahead inc hosp,2021-01-28,56,quantile,0.100,12.774282029837307
2021-01-28,1 day ahead inc hosp,2021-01-29,56,quantile,0.100,13.078550507312379
2021-01-28,2 day ahead inc hosp,2021-01-30,56,quantile,0.100,13.267272091465172
2021-01-28,3 day ahead inc hosp,2021-01-31,56,quantile,0.100,13.378490522577389
2021-01-28,4 day ahead inc hosp,2021-02-01,56,quantile,0.100,13.422911594135021
2021-01-28,5 day ahead inc hosp,2021-02-02,56,quantile,0.100,13.368383857234345
2021-01-28,6 day ahead inc hosp,2021-02-03,56,quantile,0.100,13.046912103556325
2021-01-28,7 day ahead inc hosp,2021-02-04,56,quantile,0.100,12.600586459674238
2021-01-28,8 day ahead inc hosp,2021-02-05,56,quantile,0.100,11.90589696979824
